 The solution is
x[1] = 0
x[2] = 1
x[3] = 0
x[4] = 0
x[5] = 0
x[6] = 1
x[7] = 0
x[9] = 0
x[10] = 0
x[11] = 0
x[13] = 1
x[16] = 0
x[19] = 0
x[20] = 0
x[22] = 1
x[23] = 1
x[24] = 1
x[26] = 1
x[28] = 0
x[29] = 1
x[30] = 0
x[31] = 0
x[33] = 0
x[34] = 0
x[38] = 1
x[39] = 1
x[40] = 1
x[43] = 1
x[46] = 0
x[47] = 1
x[48] = 1
x[49] = 1
x[50] = 1
x[52] = 1
x[53] = 1
x[54] = 1
x[55] = 0
x[56] = 1
x[60] = 0
x[61] = 1
x[62] = 0
x[63] = 0
x[64] = 1
x[65] = 1
x[66] = 1
x[67] = 1
x[68] = 0
x[69] = 1
x[70] = 1
x[73] = 0
x[74] = 1
x[75] = 0
x[76] = 0
x[77] = 0
x[78] = 1
x[79] = 0
x[80] = 1
x[81] = 0
x[82] = 0
x[83] = 0
x[84] = 0
x[87] = 1
x[88] = 1
x[89] = 1
x[91] = 0
x[92] = 0
x[93] = 0
x[94] = 1
x[95] = 1
x[97] = 1
x[98] = 0
x[99] = 0
x[100] = 1
x[102] = 1
x[103] = 1
x[104] = 1
x[105] = 1
x[107] = 0
x[108] = 0
x[109] = 1
x[110] = 0
x[112] = 0
x[113] = 1
x[115] = 1
x[118] = 0
x[119] = 1
x[121] = 1
x[122] = 0
x[123] = 1
x[124] = 1
x[126] = 0
x[128] = 1
x[129] = 0
x[130] = 0
x[131] = 0
x[132] = 0
x[135] = 1
x[136] = 0
x[140] = 1
x[141] = 0
x[142] = 0
x[144] = 1
x[147] = 1
x[148] = 0
x[149] = 1
x[150] = 0
x[151] = 1
x[152] = 0
x[154] = 1
x[155] = 0
x[156] = 0
x[157] = 0
x[158] = 1
x[159] = 0
x[160] = 1
x[162] = 0
x[164] = 1
x[165] = 0
x[166] = 1
x[168] = 0
x[171] = 1
x[173] = 1
x[174] = 0
x[177] = 0
x[181] = 0
x[182] = 1
x[188] = 0
x[189] = 1
x[193] = 0
x[196] = 1
x[198] = 0
Run time is 146 milliseconds
